r,G(r),G_err(r)
5.355151478447820068e+01,2.749708496731169127e-01,1.499649863152893899e-02
5.430925524989024211e+01,2.734387791029188608e-01,1.502947067375225675e-02
5.506311980499326353e+01,2.713062238742203758e-01,1.506332450093424320e-02
5.581310844978727914e+01,2.699288839883211555e-01,1.502427300594905840e-02
5.655922118427227474e+01,2.684836047302619488e-01,1.507652628418557940e-02
5.730145800844826454e+01,2.678279049265346323e-01,1.515361965422404311e-02
5.803981892231524853e+01,2.653238663950104881e-01,1.516332201502013956e-02
5.877430392587321251e+01,2.633306605311626636e-01,1.515911795174172683e-02
5.950491301912215647e+01,2.619406772431942532e-01,1.520350418343847584e-02
6.023164620206210884e+01,2.601588718355969387e-01,1.531674498755281229e-02
6.095450347469304120e+01,2.587315961164434186e-01,1.544237502695756763e-02
6.167348483701493933e+01,2.567500840424034037e-01,1.562109963688463297e-02
6.238859028902784587e+01,2.553035524613043727e-01,1.575663538422508725e-02
6.309981983073171818e+01,2.519231569776950175e-01,1.607043702745416386e-02
6.380717346212661312e+01,2.501483449001777881e-01,1.623951297707549452e-02
6.451065118321247382e+01,2.480567670814127490e-01,1.640480714360693232e-02
6.521025299398931452e+01,2.456733082336925167e-01,1.672435133340592628e-02
6.590597889445714941e+01,2.449861325992367111e-01,1.680020451686556685e-02
6.659782888461597850e+01,2.410614257146929673e-01,1.713341720217348776e-02
6.728580296446577336e+01,2.390594323666360987e-01,1.742259347603881264e-02
6.796990113400656242e+01,2.371235934305363224e-01,1.758560740954064061e-02
6.865012339323834567e+01,2.356662189787643025e-01,1.791692725131002403e-02
6.932646974216112312e+01,2.338390900870465638e-01,1.826938046104780236e-02
6.999894018077486635e+01,2.301042378794765364e-01,1.849685846536051892e-02
7.066753470907960377e+01,2.281433065957510220e-01,1.890736765364886204e-02
7.133225332707536381e+01,2.266175941719077158e-01,1.914594093036748809e-02
7.199309603476207542e+01,2.249186717245288958e-01,1.929130631308593330e-02
7.265006283213978122e+01,2.213782674069089684e-01,1.981483203610315963e-02
7.330315371920846701e+01,2.195912831982539670e-01,2.003224251439388037e-02
7.395236869596814699e+01,2.176061897375388410e-01,2.027242210172039427e-02
7.459770776241882118e+01,2.166406010206055888e-01,2.059217486039801800e-02
7.523917091856047534e+01,2.130167606351097143e-01,2.096738977115015015e-02
7.587675816439310950e+01,2.116701688590164054e-01,2.118106489475132803e-02
7.651046949991672363e+01,2.099440223970826525e-01,2.150246181635055709e-02
7.714030492513134618e+01,2.080584972227516594e-01,2.170921191796811381e-02
7.776626444003693450e+01,2.049703121692785790e-01,2.200150232907689338e-02
7.838834804463353123e+01,2.028318424968023614e-01,2.213116571909803931e-02
7.900655573892109373e+01,2.028177984926126665e-01,2.231723363834920565e-02
7.962088752289966465e+01,1.985973870195879565e-01,2.256685558836313624e-02
8.023134339656920133e+01,1.968514885188095975e-01,2.279259519397824896e-02
8.083792335992973221e+01,1.963580727644813062e-01,2.307033424612891376e-02
8.144062741298128572e+01,1.943435675751315483e-01,2.333458901541193148e-02
8.203945555572377657e+01,1.916889217172551563e-01,2.353321214147374718e-02
8.263440778815727583e+01,1.901567252492656346e-01,2.379162781075411237e-02
8.322548411028176929e+01,1.881260614005895726e-01,2.389359799286048733e-02
8.381268452209722852e+01,1.846964593497482654e-01,2.420818404316572858e-02
8.439600902360369616e+01,1.834395770283326343e-01,2.432555705015337910e-02
8.497545761480114379e+01,1.830212057466618913e-01,2.437758863982402921e-02
8.555103029568957140e+01,1.793798643305434259e-01,2.451308847839647753e-02
8.612272706626899321e+01,1.781066803463017545e-01,2.457713118347607667e-02
8.669054792653938080e+01,1.768448773423814124e-01,2.475095368165536325e-02
8.725449287650079100e+01,1.738631583550154514e-01,2.478365056589153584e-02
8.781456191615316698e+01,1.727625405371856770e-01,2.494787583801385752e-02
8.837075504549652294e+01,1.714649840990329355e-01,2.489522944817578604e-02
8.892307226453087310e+01,1.689955652796769625e-01,2.500458013382579267e-02
8.947151357325620324e+01,1.687535548559818688e-01,2.499692511791056990e-02
9.001607897167252759e+01,1.655466014099682415e-01,2.498421152534773329e-02
9.055676845977987455e+01,1.645086892723591487e-01,2.505408661738800502e-02
9.109358203757815886e+01,1.634274847376037954e-01,2.505759621064600901e-02
9.162651970506745158e+01,1.602337908385499665e-01,2.522319789399304901e-02
9.215558146224772429e+01,1.608777490381601283e-01,2.541126953816692097e-02
9.268076730911897698e+01,1.578370885781225363e-01,2.531211966306199865e-02
9.320207724568123808e+01,1.571745299875609014e-01,2.545596255394843438e-02
9.371951127193447917e+01,1.567078819408640744e-01,2.563191731735253720e-02
9.423306938787870024e+01,1.538560813178630748e-01,2.564704957300248736e-02
9.474275159351390130e+01,1.555198425575881338e-01,2.583366054158423714e-02
9.524855788884011076e+01,1.511116936428085200e-01,2.571908876882944908e-02
9.575048827385728600e+01,1.501893472345447178e-01,2.588699060380660055e-02
9.624854274856545544e+01,1.511058178049046186e-01,2.601483592083996335e-02
9.674272131296461907e+01,1.477273968879714294e-01,2.601311074239755911e-02
9.723302396705476269e+01,1.502156941109710486e-01,2.626824959868128556e-02
9.771945071083588630e+01,1.453161747109298907e-01,2.598459006864024812e-02
9.820200154430801831e+01,1.482877781253640337e-01,2.638568727226549976e-02
9.868067646747113031e+01,1.429860196354770796e-01,2.599101399824062589e-02
9.915547548032520808e+01,1.450673256426947277e-01,2.622638696421333501e-02
9.962639858287029426e+01,1.419783708179117310e-01,2.636091172272678543e-02
1.000934457751063604e+02,1.422078586168295522e-01,2.625197293074700219e-02
1.005566170570334066e+02,1.409554111140092769e-01,2.644223152568647012e-02
1.010159124286514469e+02,1.381101336527607581e-01,2.639586872837109896e-02
1.014713318899604957e+02,1.398652728800598433e-01,2.655505348845036556e-02
1.019228754409604960e+02,1.368208804530767209e-01,2.613224016404778333e-02
1.023705430816515047e+02,1.385706569901980489e-01,2.650005346714337517e-02
1.028143348120334934e+02,1.351982060790074824e-01,2.634674415181603377e-02
1.032542506321064621e+02,1.356805192274523619e-01,2.666492233078285312e-02
