r,G(r),G_err(r)
9.215558146224772429e+01,6.175630041745215904e-01,1.675947700912782876e-02
9.268076730911897698e+01,6.152853908023580010e-01,1.651158740432143168e-02
9.320207724568123808e+01,6.148187364488679751e-01,1.709179697797342384e-02
9.371951127193447917e+01,6.142319987153990191e-01,1.765519894993005171e-02
9.423306938787870024e+01,6.124470354937006089e-01,1.764227236852742783e-02
9.474275159351390130e+01,6.132383825521150467e-01,1.877054429496362309e-02
9.524855788884011076e+01,6.104543750503961252e-01,1.828444636574890619e-02
9.575048827385728600e+01,6.095861729500139381e-01,1.889754878895859996e-02
9.624854274856545544e+01,6.100705528121243004e-01,1.963208579486471622e-02
9.674272131296461907e+01,6.072274860788999806e-01,1.954004994706547496e-02
9.723302396705476269e+01,6.090558831162891096e-01,2.064846684742890903e-02
9.771945071083588630e+01,6.050168285675063817e-01,2.012072469980675724e-02
9.820200154430801831e+01,6.075593925175788446e-01,2.143984328401830550e-02
9.868067646747113031e+01,6.028645595952086822e-01,2.077707993408745360e-02
9.915547548032520808e+01,6.044191101909210939e-01,2.187259857477936650e-02
9.962639858287029426e+01,6.019961248274983134e-01,2.185264637654498604e-02
1.000934457751063604e+02,6.016756672616117019e-01,2.243887030158595378e-02
1.005566170570334066e+02,6.011118986126446906e-01,2.281343099545342021e-02
1.010159124286514469e+02,5.979324539292966145e-01,2.291414205160766798e-02
1.014713318899604957e+02,5.996244177013265730e-01,2.370178361235485837e-02
1.019228754409604960e+02,5.962590436354370249e-01,2.377993142008396482e-02
1.023705430816515047e+02,5.981349735653271882e-01,2.457557703745163677e-02
1.028143348120334934e+02,5.936468084193732286e-01,2.463566773145734606e-02
1.032542506321064621e+02,5.949942149040928774e-01,2.536331939802841454e-02
1.036902905418704250e+02,5.910306069556097164e-01,2.542778327757272069e-02
1.041224545413253821e+02,5.931512093242068406e-01,2.615838188950406901e-02
1.045507426304713192e+02,5.879070983380315640e-01,2.628828202098254518e-02
1.049751548093082363e+02,5.899038381016573629e-01,2.685197552271087473e-02
1.053956910778361618e+02,5.868130112169233081e-01,2.712994925525983800e-02
1.058123514360550530e+02,5.870251894564750827e-01,2.761099966518369350e-02
1.062251358839649384e+02,5.828815222996052148e-01,2.791296120528500083e-02
1.066340444215658039e+02,5.837808526796426367e-01,2.839895944663563612e-02
1.070390770488576635e+02,5.825978243278007174e-01,2.859399540716000415e-02
1.074402337658405031e+02,5.799650529968488621e-01,2.888449787135722452e-02
1.078375145725143369e+02,5.825320051737955529e-01,2.927878869859611155e-02
1.082309194688791649e+02,5.730300571738233817e-01,2.989955507219256570e-02
1.086204484549349729e+02,5.794906882794041980e-01,2.984804610296902180e-02
1.090061015306817751e+02,5.722455106244053180e-01,3.048915659321182331e-02
1.093878786961195431e+02,5.757051284146006420e-01,3.061335081433585320e-02
1.097657799512483194e+02,5.694217318244456649e-01,3.136220379001527364e-02
1.101398052960680616e+02,5.705238555687328628e-01,3.176555220722732109e-02
1.105099547305788121e+02,5.693588199841302933e-01,3.210539632348511502e-02
1.108762282547805427e+02,5.653215823064026146e-01,3.269827167709451338e-02
1.112386258686732532e+02,5.699765525507498598e-01,3.247601544169983340e-02
1.115971475722569721e+02,5.618176618134071987e-01,3.360721983010370867e-02
1.119517933655316568e+02,5.661620985062041367e-01,3.319263369162490235e-02
1.123025632484973357e+02,5.616215704714127011e-01,3.411589475407036942e-02
1.126494572211539946e+02,5.600314209946152255e-01,3.445076545294040171e-02
1.129924752835016477e+02,5.634477229220085093e-01,3.428816018113228087e-02
1.133316174355402808e+02,5.555935971065395496e-01,3.519832786597592439e-02
1.136668836772699080e+02,5.582947578380990095e-01,3.560863934127778130e-02
1.139982740086905153e+02,5.586681594589958388e-01,3.522366075625155135e-02
1.143257884298021168e+02,5.529459618241275853e-01,3.622204805406934597e-02
1.146494269406047124e+02,5.558922642792533120e-01,3.640965324731917918e-02
1.149691895410982738e+02,5.513521315982743420e-01,3.619191095533255687e-02
1.152850762312828294e+02,5.518279632055028694e-01,3.704245344786707972e-02
1.155970870111583793e+02,5.536517745651239331e-01,3.712566157287411350e-02
1.159052218807249091e+02,5.461449333700546527e-01,3.712326468400233004e-02
1.162094808399824331e+02,5.496707711917655503e-01,3.794199661781876703e-02
1.165098638889309370e+02,5.509276520671135824e-01,3.757316102097085775e-02
1.168063710275704494e+02,5.441502522985492973e-01,3.789159249830498233e-02
1.170990022559009276e+02,5.468816265618662298e-01,3.847241906113273852e-02
1.173877575739223857e+02,5.489585113605718325e-01,3.796837322140150794e-02
